CoC Number,CoC Name,Overall.Total,Children & Youth Under 18,Youth 18 to 24,Youth & People 25 to 34,People 35 to 44,People 45 to 54,People 55 to 64,People Over 64,Women,Men,Transgender,Nonbinary,Gender Questioning,Non-Latino & Non-Hispanic,Latino,White,Black,Asian,Indigenous,Native Hawiian or Pacific Islander,Multiracial,Emergency Shelter,Transitional Housing Shelter,Safe Haven,In Shelter,Unsheltered,Year
MA-516,Massachusetts Balance of State CoC,4432,1792,314,879,718,359,264,106,2325,2093,2,10,2,2906,1526,2153,1917,78,19,40,225,3627,318,0,3945,487,2023
MA-519,"Attleboro, Taunton/Bristol County CoC",322,138,17,47,62,39,16,3,166,155,0,1,0,274,48,161,124,4,1,7,25,267,26,0,293,29,2023
MD-501,Baltimore CoC,1627,192,80,235,292,289,372,167,557,1059,7,4,0,1529,98,377,1183,15,8,11,33,927,571,16,1514,113,2023
MD-503,Annapolis/Anne Arundel County CoC,241,43,12,35,39,44,50,18,84,157,0,0,0,224,17,122,107,0,2,0,10,155,12,0,167,74,2023
MD-504,Howard County CoC,145,33,5,26,30,27,16,8,65,80,0,0,0,136,9,37,99,5,2,0,2,112,0,0,112,33,2023
MD-505,Baltimore County CoC,612,146,24,99,98,112,87,46,254,355,3,0,0,601,11,211,373,2,4,0,22,459,21,0,480,132,2023
MD-506,Carroll County CoC,122,23,7,37,21,11,14,9,45,76,1,0,0,113,9,83,22,1,2,4,10,99,0,0,99,23,2023
MD-511,Mid-Shore Regional CoC,139,55,9,31,18,8,13,5,66,73,0,0,0,128,11,66,56,0,5,0,12,127,10,0,137,2,2023
MD-513,"Wicomico, Somerset, Worcester Counties CoC",329,61,24,35,49,57,71,32,140,186,2,1,0,326,3,121,192,1,0,1,14,262,22,0,284,45,2023
MD-514,Maryland Balance of State CoC,1161,224,81,193,202,159,209,93,496,658,1,6,0,1124,37,620,453,1,6,1,80,702,155,0,857,304,2023
MD-600,Prince George's County CoC,595,201,118,75,69,60,54,18,297,293,3,1,1,526,69,80,466,12,7,3,27,338,155,0,493,102,2023
MD-601,Montgomery County CoC,894,168,58,152,155,140,159,62,351,537,4,0,2,720,174,228,570,27,60,9,0,724,42,4,770,124,2023
ME-500,Maine Statewide CoC,4258,1236,314,634,864,614,417,179,2129,2077,38,13,1,4039,219,2044,2013,17,34,5,145,3153,791,15,3959,299,2023
MI-500,Michigan Balance of State CoC,1698,490,141,222,379,239,173,54,826,859,5,8,0,1596,102,1426,140,4,24,1,103,932,297,0,1229,469,2023
MI-501,Detroit CoC,1482,313,138,191,178,143,217,112,539,934,6,1,2,1442,40,156,1263,10,12,4,37,1070,191,19,1280,202,2023
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",199,70,8,22,41,25,24,9,114,83,0,2,0,192,7,77,113,0,0,0,9,110,63,3,176,23,2023
MI-503,"St. Clair Shores, Warren/Macomb County CoC",319,81,23,42,76,51,39,7,148,169,0,2,0,313,6,103,189,9,2,3,13,243,43,0,286,33,2023
MI-504,"Pontiac, Royal Oak/Oakland County CoC",386,146,50,48,52,29,46,15,194,190,0,2,0,351,35,103,263,1,3,0,16,251,91,0,342,44,2023
MI-505,Flint/Genesee County CoC,396,67,23,66,73,75,70,22,131,263,2,0,0,378,18,162,219,1,3,2,9,318,65,0,383,13,2023
MI-506,"Grand Rapids, Wyoming/Kent County CoC",1239,328,119,233,172,141,179,67,481,739,14,5,0,1068,171,518,568,5,10,1,137,918,208,0,1126,113,2023
MI-507,"Portage, Kalamazoo City & County CoC",635,123,47,97,103,129,100,36,250,383,1,1,0,610,25,268,291,8,26,6,36,396,76,0,472,163,2023
MI-508,"Lansing, East Lansing/Ingham County CoC",685,199,36,107,119,97,89,38,305,378,1,1,0,621,64,329,258,4,5,1,88,587,18,18,623,62,2023
MI-509,Washtenaw County CoC,266,37,20,41,61,43,46,18,87,171,2,3,3,254,12,113,129,4,2,1,17,225,25,0,250,16,2023
MI-510,Saginaw City & County CoC,324,100,27,68,41,38,35,15,148,175,1,0,0,283,41,103,205,0,2,1,13,229,74,6,309,15,2023
MI-511,Lenawee County CoC,149,34,17,23,26,23,15,11,78,70,0,1,0,129,20,106,21,0,1,0,21,119,30,0,149,0,2023
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",198,31,5,42,38,32,38,12,66,132,0,0,0,182,16,153,7,0,9,0,29,158,5,0,163,35,2023
MI-514,Battle Creek/Calhoun County CoC,241,37,13,38,46,48,41,18,84,156,0,1,0,225,16,134,91,1,1,0,14,165,37,0,202,39,2023
MI-515,Monroe City & County CoC,127,34,6,34,19,17,6,11,67,60,0,0,0,123,4,78,45,2,0,0,2,99,28,0,127,0,2023
MI-516,"Norton Shores, Muskegon City & County CoC",161,46,6,12,40,22,27,8,80,81,0,0,0,146,15,78,79,0,0,0,4,151,0,0,151,10,2023
MI-517,Jackson City & County CoC,137,40,11,33,17,19,13,4,67,68,0,2,0,132,5,70,54,0,1,0,12,100,0,0,100,37,2023
MI-518,Livingston County CoC,88,36,12,7,20,8,4,1,50,36,0,1,1,88,0,88,0,0,0,0,0,55,33,0,88,0,2023
MI-519,Holland/Ottawa County CoC,212,46,14,43,49,25,32,3,100,112,0,0,0,160,52,176,30,2,0,0,4,114,50,0,164,48,2023
MI-523,Eaton County CoC,55,22,5,6,9,9,2,2,32,23,0,0,0,55,0,37,16,0,0,0,2,25,17,0,42,13,2023
MN-500,Minneapolis/Hennepin County CoC,3312,1062,404,655,540,299,268,84,1550,1731,13,18,0,2668,644,683,1651,58,370,14,536,2422,421,0,2843,469,2023
MN-501,Saint Paul/Ramsey County CoC,1680,386,143,353,299,247,190,62,663,1005,9,3,0,1538,142,487,800,109,102,9,173,918,394,0,1312,368,2023
MN-502,Rochester/Southeast Minnesota CoC,496,144,39,76,96,63,51,27,245,247,1,3,0,446,50,293,141,4,21,1,36,270,144,0,414,82,2023
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",807,215,94,131,150,102,83,32,420,380,2,5,0,704,103,426,262,10,13,12,84,466,113,0,579,228,2023
MN-504,Northeast Minnesota CoC,87,22,13,20,16,5,8,3,41,45,0,1,0,81,6,63,3,3,14,0,4,31,32,0,63,24,2023
MN-505,St. Cloud/Central Minnesota CoC,801,231,68,156,153,90,65,38,398,399,0,1,3,753,48,499,150,2,65,3,82,365,196,0,561,240,2023
MN-506,Northwest Minnesota CoC,336,124,85,43,41,18,19,6,185,142,5,4,0,305,31,96,18,0,189,1,32,159,168,0,327,9,2023
MN-508,Moorhead/West Central Minnesota CoC,174,50,21,27,33,24,17,2,94,78,1,1,0,153,21,88,39,0,39,1,7,101,57,0,158,16,2023
MN-509,Duluth/St.Louis County CoC,579,105,59,99,121,95,69,31,246,326,4,3,0,556,23,289,64,3,139,3,81,209,149,0,358,221,2023
MN-511,Southwest Minnesota CoC,121,51,25,19,15,7,1,3,75,46,0,0,0,97,24,75,24,4,9,1,8,67,35,0,102,19,2023
MO-500,St. Louis County CoC,446,96,111,100,61,36,34,8,205,234,4,2,1,435,11,131,299,1,2,5,8,177,143,0,320,126,2023
MO-501,St.Louis City CoC,1252,203,89,214,237,214,209,86,441,799,7,5,0,1173,79,316,863,8,10,6,49,809,337,0,1146,106,2023
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",395,98,33,60,85,67,46,6,200,192,1,2,0,384,11,277,97,1,2,0,18,213,21,0,234,161,2023
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",617,105,35,128,118,117,96,18,254,361,0,1,1,586,31,477,70,2,26,6,36,408,50,0,458,159,2023
MO-602,"Joplin/Jasper, Newton Counties CoC",255,40,14,37,61,48,39,16,94,161,0,0,0,240,15,208,25,1,7,2,12,116,78,0,194,61,2023
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",175,34,15,31,40,29,22,4,79,92,3,1,0,161,14,134,24,1,3,6,7,87,32,15,134,41,2023
MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",1986,343,170,568,353,254,216,82,708,1250,13,12,3,1731,255,1038,767,21,30,20,110,570,606,19,1195,791,2023
MO-606,Missouri Balance of State CoC,1792,335,133,326,408,297,235,58,842,930,6,10,4,1725,67,1347,328,5,14,23,75,892,204,6,1102,690,2023
MS-500,"Jackson/Rankin, Madison Counties CoC",315,27,15,41,66,68,62,36,92,218,4,0,1,310,5,98,204,3,4,0,6,170,52,0,222,93,2023
MS-501,Mississippi Balance of State CoC,412,45,23,55,127,85,54,23,164,246,2,0,0,404,8,205,194,3,1,2,7,179,12,0,191,221,2023
MS-503,Gulf Port/Gulf Coast Regional CoC,255,58,11,43,56,37,31,19,119,135,0,1,0,240,15,126,107,1,3,3,15,51,74,0,125,130,2023
MT-500,Montana Statewide CoC,2178,296,217,319,510,366,325,145,898,1259,7,10,4,1975,203,1480,63,10,461,18,146,1414,268,0,1682,496,2023
NC-500,Winston-Salem/Forsyth County CoC,396,52,19,75,85,72,76,17,126,267,0,3,0,386,10,142,227,1,9,3,14,282,27,0,309,87,2023
NC-501,Asheville/Buncombe County CoC,573,40,28,92,126,106,123,58,186,383,4,0,0,546,27,421,113,4,15,1,19,151,251,0,402,171,2023
NC-502,Durham City & County CoC,375,67,11,75,63,58,63,38,135,237,0,1,2,346,29,97,258,3,3,1,13,183,34,0,217,158,2023
NC-503,North Carolina Balance of State CoC,3311,618,203,581,644,570,526,169,1427,1874,3,5,2,3105,206,1860,1209,20,80,6,136,1712,285,0,1997,1314,2023
NC-504,"Greensboro, High Point CoC",452,84,27,53,63,82,96,47,164,285,1,2,0,435,17,82,317,2,5,1,45,367,46,5,418,34,2023
NC-505,Charlotte/Mecklenberg CoC,1916,381,106,302,245,314,409,159,781,1125,6,2,2,1821,95,317,1491,16,22,2,68,1277,342,9,1628,288,2023
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",558,64,55,117,86,103,106,27,230,319,7,2,0,519,39,346,189,1,5,1,16,224,75,0,299,259,2023
NC-507,Raleigh/Wake County CoC,916,184,99,178,152,146,108,49,436,464,9,5,2,856,60,234,614,6,7,16,39,375,78,0,453,463,2023
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",388,52,16,147,63,55,41,14,154,233,0,1,0,380,8,190,184,1,3,5,5,221,20,4,245,143,2023
NC-511,Fayetteville/Cumberland County CoC,474,35,10,328,49,28,13,11,132,342,0,0,0,461,13,118,343,5,5,0,3,54,32,0,86,388,2023
NC-513,Chapel Hill/Orange County CoC,126,7,5,29,20,26,28,11,36,88,1,0,1,119,7,54,70,0,0,0,2,47,43,0,90,36,2023
NC-516,Northwest North Carolina CoC,269,68,15,63,55,34,21,13,123,145,1,0,0,250,19,233,30,1,1,0,4,141,26,0,167,102,2023
ND-500,North Dakota Statewide CoC,784,137,84,177,169,102,88,27,277,495,6,6,0,717,67,352,102,9,276,0,45,484,112,12,608,176,2023
NE-500,Nebraska Balance of State CoC,558,150,48,86,97,87,70,20,270,287,1,0,0,442,116,454,42,1,37,3,21,241,270,0,511,47,2023
NE-501,"Omaha, Council Bluffs CoC",1475,174,103,240,302,315,263,78,488,974,8,5,0,1308,167,875,396,27,70,7,100,1091,179,0,1270,205,2023
NE-502,Lincoln CoC,429,95,42,75,83,57,53,24,173,254,1,1,0,384,45,256,90,9,27,1,46,278,91,0,369,60,2023
NH-500,New Hampshire Balance of State CoC,1555,245,111,286,369,245,216,83,735,805,6,8,1,1470,85,1420,51,6,26,5,47,1295,74,0,1369,186,2023
NH-501,Manchester CoC,538,99,49,105,101,79,80,25,229,306,2,1,0,476,62,470,39,6,2,1,20,277,136,1,414,124,2023
NH-502,Nashua/Hillsborough County CoC,348,99,15,51,69,40,43,31,148,199,0,1,0,280,68,285,34,2,1,4,22,171,145,4,320,28,2023
NJ-500,Atlantic City & County CoC,440,36,48,78,88,56,86,48,156,284,0,0,0,328,112,218,203,5,0,4,10,166,39,0,205,235,2023
NJ-501,Bergen County CoC,390,148,31,55,59,32,45,20,222,165,1,2,0,195,195,179,184,8,1,0,18,271,106,0,377,13,2023
NJ-502,Burlington County CoC,933,317,57,157,172,115,92,23,456,475,0,2,0,803,130,340,550,3,4,4,32,845,28,0,873,60,2023
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",1167,210,63,180,243,208,195,68,485,673,3,6,0,945,222,550,554,10,10,6,37,828,112,28,968,199,2023
NJ-504,Newark/Essex County CoC,1594,400,136,255,238,226,254,85,720,864,5,5,0,1291,303,266,1211,4,66,11,36,1119,350,0,1469,125,2023
NJ-506,"Jersey City, Bayonne/Hudson County CoC",920,130,47,161,206,143,170,63,301,617,2,0,0,453,467,332,540,11,23,2,12,656,41,0,697,223,2023
NJ-507,New Brunswick/Middlesex County CoC,660,182,35,103,110,97,102,31,297,359,4,0,0,312,348,311,320,7,7,1,14,519,4,0,523,137,2023
NJ-508,Monmouth County CoC,483,126,30,63,91,70,81,22,211,270,2,0,0,358,125,208,243,2,4,0,26,335,109,0,444,39,2023
NJ-509,Morris County CoC,465,103,27,88,75,89,63,20,202,260,2,1,0,318,147,315,129,8,8,1,4,332,104,0,436,29,2023
NJ-510,Lakewood Township/Ocean County CoC,434,126,35,68,77,72,41,15,235,197,1,1,0,316,118,238,173,1,3,2,17,389,10,0,399,35,2023
NJ-511,Paterson/Passaic County CoC,392,91,34,64,72,63,47,21,156,235,1,0,0,218,174,153,220,1,10,1,7,329,8,0,337,55,2023
NJ-512,Salem County CoC,67,6,7,5,15,20,13,1,32,35,0,0,0,52,15,23,27,0,0,0,17,13,0,0,13,54,2023
NJ-513,Somerset County CoC,338,64,36,57,53,50,52,26,151,186,1,0,0,248,90,131,196,4,0,2,5,237,96,0,333,5,2023
NJ-514,Trenton/Mercer County CoC,714,200,44,122,134,94,91,29,322,389,2,1,0,580,134,178,503,18,3,6,6,503,80,0,583,131,2023
NJ-515,Elizabeth/Union County CoC,848,234,79,144,139,95,125,32,377,469,0,2,0,442,406,182,653,0,6,0,7,684,120,0,804,44,2023
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",419,127,28,58,59,59,57,31,227,190,0,2,0,315,104,292,108,0,4,1,14,310,85,0,395,24,2023
NM-500,Albuquerque CoC,2394,350,191,435,564,397,321,136,916,1447,18,10,3,1248,1146,1556,264,20,380,75,99,1125,292,0,1417,977,2023
NM-501,New Mexico Balance of State CoC,1448,328,92,279,269,223,178,79,662,763,9,10,4,620,828,900,136,4,339,6,63,665,160,0,825,623,2023
NV-500,Las Vegas/Clark County CoC,6566,542,347,966,1320,1266,1204,921,2139,4370,2,20,35,5531,1035,3348,2555,148,114,129,272,2104,550,0,2654,3912,2023
NV-501,"Reno, Sparks/Washoe County CoC",1690,126,90,253,339,350,393,139,546,1123,4,15,2,1327,363,1275,219,21,106,28,41,1106,255,0,1361,329,2023
NV-502,Nevada Balance of State CoC,410,25,17,65,86,85,84,48,125,281,1,1,2,349,61,361,16,3,17,0,13,58,38,0,96,314,2023
NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",803,244,90,122,125,100,93,29,344,453,2,2,2,662,141,245,517,4,3,1,33,642,108,11,761,42,2023
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",594,134,66,141,126,70,43,14,243,348,2,1,0,566,28,484,84,0,5,3,18,535,40,0,575,19,2023
NY-503,Albany City & County CoC,889,185,24,211,187,158,90,34,312,574,2,1,0,755,134,366,457,2,17,0,47,661,127,0,788,101,2023
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",924,226,94,174,179,133,85,33,370,547,5,2,0,823,101,464,332,4,5,6,113,778,117,0,895,29,2023
NY-507,Schenectady City & County CoC,430,59,30,75,82,96,53,35,172,254,4,0,0,357,73,187,207,8,2,0,26,339,84,0,423,7,2023
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",1560,351,129,264,298,204,218,96,699,856,3,1,1,1323,237,683,751,8,22,7,89,1147,382,0,1529,31,2023
NY-510,Ithaca/Tompkins County CoC,273,29,32,61,86,36,20,9,114,158,0,1,0,245,28,171,66,2,6,1,27,221,41,0,262,11,2023
NY-511,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Count",676,103,67,139,131,182,41,13,285,389,0,2,0,647,29,526,131,0,1,3,15,562,37,0,599,77,2023
NY-512,Troy/Rensselaer County CoC,156,44,15,34,30,11,18,4,62,92,0,2,0,144,12,82,69,0,0,0,5,105,28,0,133,23,2023
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",426,96,28,116,103,44,34,5,196,225,5,0,0,364,62,319,92,0,1,2,12,330,95,0,425,1,2023
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",136,40,16,29,28,17,6,0,64,69,2,1,0,97,39,111,19,0,1,0,5,113,21,0,134,2,2023
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",282,73,17,65,54,33,32,8,106,175,0,1,0,246,36,178,77,4,3,0,20,225,28,0,253,29,2023
NY-519,"Columbia, Greene Counties CoC",135,20,9,25,33,21,23,4,70,65,0,0,0,129,6,97,24,0,1,0,13,116,10,0,126,9,2023
NY-520,"Franklin, Essex Counties CoC",63,4,5,16,17,7,13,1,20,43,0,0,0,61,2,50,2,0,9,1,1,60,0,0,60,3,2023
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",182,33,27,50,43,13,14,2,79,103,0,0,0,168,14,156,12,0,1,0,13,132,16,0,148,34,2023
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",332,30,27,79,81,48,44,23,132,195,3,2,0,307,25,267,51,3,2,0,9,314,13,0,327,5,2023
NY-525,New York Balance of State Continuum of Care,687,138,69,151,164,94,53,18,290,386,7,4,0,604,83,553,87,1,3,1,42,638,1,0,639,48,2023
NY-600,New York City CoC,88025,25200,9130,19577,13812,8792,7928,3586,37788,49650,498,73,16,41029,46996,22048,59292,788,778,231,4888,81108,2793,39,83940,4085,2023
NY-601,Poughkeepsie/Dutchess County CoC,691,185,52,132,120,95,84,23,304,366,5,16,0,554,137,336,277,15,8,3,52,535,137,0,672,19,2023
NY-602,"Newburgh, Middletown/Orange County CoC",491,166,36,100,83,53,41,12,217,273,1,0,0,334,157,237,200,5,2,0,47,385,41,0,426,65,2023
NY-603,"Nassau, Suffolk Counties CoC",3536,1463,231,552,508,335,334,113,1827,1697,1,8,3,2790,746,1218,2024,15,59,13,207,3231,90,16,3337,199,2023
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",1317,419,84,235,218,150,147,64,567,745,3,2,0,884,433,419,842,12,10,10,24,1025,235,0,1260,57,2023
NY-606,Rockland County CoC,157,36,15,28,28,22,23,5,64,92,1,0,0,77,80,76,56,1,1,12,11,102,12,0,114,43,2023
NY-608,Kingston/Ulster County CoC,435,99,34,88,104,43,49,18,206,227,1,1,0,377,58,279,122,1,6,0,27,360,7,0,367,68,2023
OH-500,Cincinnati/Hamilton County CoC,967,163,93,142,177,139,180,73,335,628,3,1,0,937,30,351,556,2,9,11,38,708,188,20,916,51,2023
OH-501,Toledo/Lucas County CoC,631,108,32,122,118,111,99,41,236,387,1,6,1,576,55,312,260,2,10,1,46,497,40,0,537,94,2023
OH-502,Cleveland/Cuyahoga County CoC,1629,281,95,278,309,248,310,108,594,1021,12,2,0,1532,97,453,1133,5,2,4,32,1359,53,37,1449,180,2023
OH-503,Columbus/Franklin County CoC,2337,487,194,386,461,326,344,139,958,1363,7,9,0,2205,132,825,1323,13,21,3,152,1688,151,0,1839,498,2023
OH-504,Youngstown/Mahoning County CoC,161,41,15,18,46,18,13,10,76,85,0,0,0,148,13,72,72,0,2,0,15,117,13,0,130,31,2023
OH-505,"Dayton, Kettering/Montgomery County CoC",870,114,105,132,170,133,163,53,359,498,7,6,0,847,23,409,422,2,7,5,25,664,99,0,763,107,2023
OH-506,"Akron, Barberton/Summit County CoC",648,99,45,104,133,120,96,51,232,411,3,1,1,638,10,313,286,8,4,2,35,269,210,15,494,154,2023
OH-507,Ohio Balance of State CoC,3823,703,309,779,830,604,436,162,1668,2130,15,8,2,3655,168,3027,580,7,34,11,164,2091,500,0,2591,1232,2023
OH-508,"Canton, Massillon, Alliance/Stark County CoC",320,95,23,54,62,35,38,13,150,169,1,0,0,313,7,155,133,1,2,1,28,233,31,0,264,56,2023
OK-500,North Central Oklahoma CoC,214,26,28,57,38,30,30,5,71,140,0,2,1,187,27,159,27,1,21,1,5,91,53,0,144,70,2023
OK-501,Tulsa City & County CoC,1133,156,114,233,235,182,168,45,449,622,5,57,0,1014,119,593,271,13,163,29,64,489,200,6,695,438,2023
OK-502,Oklahoma City CoC,1436,200,166,207,309,234,254,66,516,894,10,15,1,1273,163,688,461,3,106,11,167,776,193,19,988,448,2023
OK-503,Oklahoma Balance of State CoC,339,74,26,92,87,54,6,0,117,221,1,0,0,276,63,263,27,3,39,2,5,122,0,0,122,217,2023
OK-504,Norman/Cleveland County CoC,213,27,7,38,45,57,29,10,86,123,2,2,0,207,6,153,46,1,10,0,3,125,14,0,139,74,2023
OK-505,Northeast Oklahoma CoC,331,9,24,50,89,68,60,31,97,234,0,0,0,302,29,164,20,0,131,0,16,146,0,0,146,185,2023
OK-506,Southwest Oklahoma Regional CoC,409,23,26,58,113,99,74,16,148,258,0,3,0,374,35,257,73,0,54,2,23,93,0,0,93,316,2023
OK-507,Southeastern Oklahoma Regional CoC,573,111,61,124,116,94,58,9,264,306,0,2,1,537,36,365,66,3,97,0,42,416,0,0,416,157,2023
OR-500,"Eugene, Springfield/Lane County CoC",2824,230,199,442,564,589,552,248,928,1838,6,35,17,2563,261,2338,96,9,85,14,282,640,74,0,714,2110,2023
OR-501,"Portland, Gresham/Multnomah County CoC",6297,833,310,1112,1564,1227,934,317,2553,3516,71,126,31,5691,606,3885,1110,64,318,210,710,1821,532,0,2353,3944,2023
OR-502,"Medford, Ashland/Jackson County CoC",1143,156,91,184,219,197,198,98,449,686,2,3,3,918,225,1005,31,7,43,16,41,301,281,5,587,556,2023
OR-503,Central Oregon CoC,1647,196,154,278,416,279,227,97,649,967,2,18,11,1463,184,1322,47,10,173,11,84,368,90,0,458,1189,2023
OR-504,"Salem/Marion, Polk Counties CoC",1683,115,89,287,410,353,303,126,539,1117,6,18,3,1386,297,1390,70,8,75,37,103,531,259,15,805,878,2023
OR-505,Oregon Balance of State CoC,5365,886,335,944,1155,956,784,305,2114,3193,20,30,8,4570,795,4713,104,39,275,47,187,1238,208,0,1446,3919,2023
OR-506,"Hillsboro, Beaverton/Washington County CoC",773,138,52,111,169,133,123,47,308,456,0,7,2,637,136,587,74,12,15,36,49,464,79,0,543,230,2023
OR-507,Clackamas County CoC,410,63,25,75,90,75,60,22,180,228,1,0,1,332,78,323,27,4,12,4,40,182,50,0,232,178,2023
PA-500,Philadelphia CoC,4725,825,409,778,968,753,768,224,1770,2875,36,36,8,4199,526,1197,3214,26,32,20,236,3335,474,210,4019,706,2023
PA-501,Harrisburg/Dauphin County CoC,353,80,27,63,39,61,66,17,123,228,0,2,0,288,65,114,201,2,1,0,35,223,94,13,330,23,2023
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",360,145,12,75,47,35,31,15,193,167,0,0,0,351,9,107,241,0,2,0,10,256,69,0,325,35,2023
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",138,44,13,24,23,21,10,3,78,60,0,0,0,105,33,69,58,0,0,0,11,68,69,0,137,1,2023
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",357,67,22,64,85,56,44,19,175,181,0,0,1,329,28,172,168,3,4,0,10,217,30,0,247,110,2023
PA-505,Chester County CoC,436,109,18,46,64,54,91,54,144,292,0,0,0,388,48,213,192,1,1,2,27,247,160,0,407,29,2023
PA-506,Reading/Berks County CoC,554,102,39,100,97,76,103,37,160,391,1,2,0,331,223,395,124,1,1,0,33,373,131,0,504,50,2023
PA-508,Scranton/Lackawanna County CoC,234,81,22,33,35,28,26,9,86,139,2,1,6,187,47,180,34,0,3,0,17,140,50,9,199,35,2023
PA-509,Eastern Pennsylvania CoC,2024,524,180,343,347,286,249,95,922,1093,3,6,0,1632,392,1438,440,15,24,21,86,1301,436,0,1737,287,2023
PA-510,Lancaster City & County CoC,526,131,31,80,82,79,86,37,230,296,0,0,0,374,152,361,136,2,1,0,26,270,149,0,419,107,2023
PA-511,"Bristol, Bensalem/Bucks County CoC",320,82,23,48,57,39,50,21,156,161,0,3,0,287,33,190,97,2,2,1,28,169,84,0,253,67,2023
PA-512,York City & County CoC,332,74,28,52,48,41,53,36,127,204,1,0,0,257,75,208,117,1,1,0,5,214,49,0,263,69,2023
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",1026,157,53,175,192,223,163,63,376,643,5,2,0,971,55,435,492,9,9,1,80,758,102,11,871,155,2023
PA-601,Western Pennsylvania CoC,730,147,57,143,132,89,132,30,291,436,1,2,0,709,21,569,118,1,7,0,35,490,191,0,681,49,2023
PA-603,Beaver County CoC,70,35,3,17,8,4,1,2,45,25,0,0,0,70,0,31,21,0,0,0,18,62,7,0,69,1,2023
PA-605,Erie City & County CoC,371,66,20,66,87,55,58,19,127,242,0,2,0,342,29,218,127,2,5,0,19,266,56,9,331,40,2023
PR-502,Puerto Rico Balance of Commonwealth CoC,1077,68,27,146,263,235,207,131,278,796,2,1,0,45,1032,530,274,0,11,1,261,124,207,11,342,735,2023
PR-503,South-Southeast Puerto Rico CoC,1165,27,60,19,30,30,27,16,222,858,2,76,7,17,1148,566,214,0,5,0,380,102,28,0,130,1035,2023
RI-500,Rhode Island Statewide CoC,1810,376,81,294,380,285,276,118,718,1069,12,10,1,1404,406,1140,436,12,33,4,185,1289,187,0,1476,334,2023
SC-500,Charleston/Low Country CoC,404,55,23,42,61,80,106,37,153,249,1,1,0,378,26,159,197,4,6,1,37,92,97,0,189,215,2023
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",1424,152,55,230,272,270,334,111,473,946,2,3,0,1361,63,834,521,3,10,4,52,889,147,12,1048,376,2023
SC-502,Columbia/Midlands CoC,1165,138,94,180,176,210,261,106,397,760,6,2,0,1126,39,437,679,1,12,3,33,725,231,0,956,209,2023
SC-503,"Myrtle Beach, Sumter City & County CoC",1060,175,48,192,246,171,161,67,459,598,2,1,0,1007,53,550,466,4,10,0,30,424,109,0,533,527,2023
SD-500,South Dakota Statewide CoC,1282,207,107,251,252,230,185,50,530,739,5,6,2,1194,88,372,63,7,779,9,52,851,121,0,972,310,2023
TN-500,Chattanooga/Southeast Tennessee CoC,1735,66,203,250,380,356,329,151,568,1131,18,13,5,1712,23,1248,424,7,11,0,45,259,9,0,268,1467,2023
TN-501,Memphis/Shelby County CoC,1292,295,89,339,120,213,152,84,478,792,12,10,0,1271,21,301,949,4,10,3,25,915,212,0,1127,165,2023
TN-502,Knoxville/Knox County CoC,921,80,59,123,200,167,211,81,371,545,1,4,0,880,41,697,188,0,13,0,23,500,198,0,698,223,2023
TN-503,Central Tennessee CoC,235,53,9,52,45,29,36,11,115,120,0,0,0,201,34,138,83,1,2,1,10,100,73,0,173,62,2023
TN-504,Nashville-Davidson County CoC,2129,174,111,316,444,457,471,156,675,1434,8,7,5,2032,97,1072,951,12,31,1,62,1248,289,2,1539,590,2023
TN-506,Upper Cumberland CoC,613,82,45,117,139,120,89,21,247,365,1,0,0,602,11,549,57,1,1,2,3,190,16,0,206,407,2023
TN-507,Jackson/West Tennessee CoC,765,116,42,136,149,186,51,85,338,427,0,0,0,758,7,449,256,0,0,0,60,53,16,0,69,696,2023
